"gene","within_sd","between_sd","mean"
"HNRNPK",0.272584838570397,0.191302550321388,13.5138061166674
"HNRNPL",0.286101493389115,0.314081726758804,12.3833909371573
"HNRNPM",0.378042477991202,0.376992505980893,12.0851190352429
"HNRNPU",0.323550950419833,0.295568244852388,13.2542367908173
"HNRNPUL1",0.40165179627536,0.282585783865585,12.4801812896789
"HSPA9",0.485089919729055,0.469149712715962,12.5479949445973
"ILF3",0.378505080728057,0.463222623091984,12.5252991667248
"IRF2BP2",0.470144415736284,0.41657971048188,12.0688740617665
"KDELR1",0.453284548405251,0.480311474379508,12.0908117115742
"KPNB1",0.434581104778693,0.38153198232949,12.1905054988899
"LAPTM4A",0.442164875445645,0.475782048646156,12.7354952760423
"LARP1",0.457006886439207,0.317917871144988,12.2161081363187
"MAP4",0.485730785112682,0.48900410846886,12.5595676246056
"MATR3",0.3992278194875,0.318002890521507,12.5555226495162
"MLF2",0.479054821418664,0.458383323607662,12.1092132059954
"MORF4L2",0.458652004051517,0.406019366905871,12.155015011398
"MRFAP1",0.395090409125218,0.371639535910828,12.5507935180542
"MTCH1",0.454043851651368,0.477229463376414,12.0790746789096
"NACA",0.48857797567997,0.435467278291932,13.7620411435938
"NCL",0.428054257297663,0.411861296681673,13.5836322659799
"NONO",0.395891344267477,0.371207970483683,12.8618095903871
"PCBP1",0.330285706315229,0.233111867310549,12.9027192722999
"PCBP2",0.384924156120882,0.283310772928032,13.2805644718171
"PPP2R1A",0.420227838979326,0.404075736288054,12.7055232452854
"PRKCSH",0.488526338620239,0.461355976470334,12.655686151585
"PRPF8",0.486675560036387,0.276631924278568,12.6128165933183
"PSMD2",0.48924674363282,0.416187319093297,12.16045311328
"PTBP1",0.336874931984572,0.410107340582688,12.4281663750552
"PTGES3",0.42873559580902,0.310475839533019,12.6195883663898
"RAB1B",0.419656771081017,0.331920407212873,12.2717070533286
"RAB5B",0.398590396879094,0.345161271617593,12.0240608662907
"RAB7A",0.375805173767162,0.30086994094997,12.5776922151154
"RAC1",0.40980152331681,0.317724096684382,12.620539491817
"RHOA",0.374040242529443,0.285153497062512,13.3184776287528
"RPN1",0.425328382061005,0.37918168420001,12.8352759164919
"SEC61A1",0.423702157341592,0.348708806663074,13.0900570683961
"SEPTIN2",0.441353984732476,0.449014217009938,12.9598711458255
"SERBP1",0.411441570608534,0.421883699722043,12.573884235216
"SET",0.417008324926784,0.375453714505104,12.5763586899141
"SF1",0.299054082912656,0.235206822662079,12.1498514876778
"SF3B1",0.431742454063481,0.334487473217248,12.4670475324762
"SF3B2",0.343793408732408,0.285541337145454,12.2860243204699
"SFPQ",0.364408282249751,0.39884981760849,12.1463885933006
"SRSF1",0.327504741546025,0.321115639538499,12.030017134391
"SRSF3",0.366408520370981,0.373265331110496,12.2603997302633
"SKP1",0.445707046651553,0.350435801171877,12.2413000195445
"SLC25A3",0.421418815337482,0.405104461148832,12.8477145869508
"SND1",0.451382327411107,0.443063855123595,12.2297074810342
"SNRNP200",0.463296522367137,0.313543070680506,12.5015112914633
"SPTAN1",0.490991120531557,0.444467927021815,12.7622305557533
"SRP14",0.43761577427407,0.315715404703983,12.0164318103792
"ST13",0.453076532550816,0.373132401561415,12.1875991191586
"SURF4",0.440927150207686,0.34526160620987,12.4597160131198
"TMED10",0.455110100182998,0.293755015816454,12.7660343895995
"TMED2",0.479014726908266,0.447456975744699,12.5119891058634
"TUFM",0.466845827130424,0.403620201849873,12.1540493804656
"UBA1",0.418353113928779,0.280195359705926,12.9787709310715
"UBC",0.461932469165345,0.376726562612039,14.9987198692466
"UBE2D3",0.347355521276553,0.22627726232027,12.2421100133501
"VCP",0.412169579826572,0.267643393779189,12.8724391363212
"WDR1",0.450146369986873,0.436178293411353,12.627685667825
"XRCC5",0.372210111466965,0.30340643483615,12.6526291894999
"XRCC6",0.403446811951058,0.303099047915841,12.6554246476644
"YWHAB",0.406902658352598,0.316577007001759,12.8354102406976
"YWHAE",0.441998344662645,0.404261049559782,13.4219673127501
"YWHAG",0.496747786375171,0.459719798111766,12.1667093316888
"YWHAQ",0.465926458846471,0.408042712483953,12.6783621263046
